punt2(   0 ,   0 ) heeft buur punt2(   0 ,   0 ),  gevonden in    12 doorzochte knopen met afstand 0
punt2( 250 , 850 ) heeft buur punt2( 250 , 853 ),  gevonden in    25 doorzochte knopen met afstand 9
punt2( 250 , 900 ) heeft buur punt2( 248 , 900 ),  gevonden in    23 doorzochte knopen met afstand 4
punt2( 250 , 950 ) heeft buur punt2( 252 , 951 ),  gevonden in    32 doorzochte knopen met afstand 5
punt2( 300 ,   0 ) heeft buur punt2( 301 ,   1 ),  gevonden in    35 doorzochte knopen met afstand 2
punt2( 300 ,  50 ) heeft buur punt2( 300 ,  49 ),  gevonden in    28 doorzochte knopen met afstand 1
punt2( 300 , 100 ) heeft buur punt2( 300 , 100 ),  gevonden in    27 doorzochte knopen met afstand 0
punt2( 300 , 150 ) heeft buur punt2( 299 , 152 ),  gevonden in    33 doorzochte knopen met afstand 5
punt2( 300 , 200 ) heeft buur punt2( 300 , 198 ),  gevonden in    35 doorzochte knopen met afstand 4
punt2( 300 , 250 ) heeft buur punt2( 299 , 250 ),  gevonden in    22 doorzochte knopen met afstand 1
punt2( 300 , 300 ) heeft buur punt2( 299 , 299 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 300 , 350 ) heeft buur punt2( 301 , 350 ),  gevonden in    28 doorzochte knopen met afstand 1
punt2( 300 , 400 ) heeft buur punt2( 300 , 399 ),  gevonden in    23 doorzochte knopen met afstand 1
punt2( 300 , 450 ) heeft buur punt2( 301 , 450 ),  gevonden in    26 doorzochte knopen met afstand 1
punt2( 300 , 500 ) heeft buur punt2( 297 , 502 ),  gevonden in    42 doorzochte knopen met afstand 13
punt2( 300 , 550 ) heeft buur punt2( 303 , 550 ),  gevonden in    22 doorzochte knopen met afstand 9
punt2( 300 , 600 ) heeft buur punt2( 300 , 600 ),  gevonden in    25 doorzochte knopen met afstand 0
punt2( 300 , 650 ) heeft buur punt2( 301 , 648 ),  gevonden in    41 doorzochte knopen met afstand 5
punt2( 300 , 700 ) heeft buur punt2( 301 , 699 ),  gevonden in    35 doorzochte knopen met afstand 2
punt2( 300 , 750 ) heeft buur punt2( 300 , 751 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 300 , 800 ) heeft buur punt2( 301 , 802 ),  gevonden in    35 doorzochte knopen met afstand 5
punt2( 300 , 850 ) heeft buur punt2( 299 , 851 ),  gevonden in    33 doorzochte knopen met afstand 2
punt2( 300 , 900 ) heeft buur punt2( 298 , 901 ),  gevonden in    25 doorzochte knopen met afstand 5
punt2( 300 , 950 ) heeft buur punt2( 299 , 950 ),  gevonden in    21 doorzochte knopen met afstand 1
punt2( 350 ,   0 ) heeft buur punt2( 351 ,   0 ),  gevonden in    18 doorzochte knopen met afstand 1
punt2( 350 ,  50 ) heeft buur punt2( 351 ,  50 ),  gevonden in    28 doorzochte knopen met afstand 1
punt2( 350 , 100 ) heeft buur punt2( 349 , 100 ),  gevonden in    23 doorzochte knopen met afstand 1
punt2( 350 , 150 ) heeft buur punt2( 351 , 149 ),  gevonden in    26 doorzochte knopen met afstand 2
